รเ1spindleLoad,รเ1 spindleSpeed,Feed
9.301757813,3648.193359,0
10.19897461,2368.212891,0
5.786132813,4054.614258,0
3.90625,4802.490234,960
1.46484375,4800.732422,960
0.09765625,4800.146484,960
0.231933594,4802.124023,960
1.434326172,4802.416992,960
1.538085938,4801.757813,960
3.997802734,4801.171875,960
2.099609375,4799.487305,960
4.791259766,4797.583008,960
1.147460938,4797.070313,960
1.409912109,4796.99707,960
4.437255859,4801.318359,960
1.025390625,4797.070313,960
0.323486328,4802.050781,960
4.809570313,4797.509766,960
4.852294922,4801.977539,960
2.1484375,4798.461914,960
1.910400391,4797.436523,960
0.030517578,4801.098633,960
1.483154297,4799.633789,960
0.109863281,4801.171875,960
0.091552734,4797.509766,960
1.336669922,4802.050781,960
2.905273438,4802.34375,960
4.833984375,4800.585938,960
3.356933594,4798.461914,960
4.345703125,4801.098633,960
4.809570313,4800.585938,960
2.313232422,4798.974609,960
0.970458984,4796.99707,960
0,4798.461914,960
4.327392578,4802.050781,960
1.574707031,4798.608398,960
2.294921875,4802.563477,960
2.008056641,4797.509766,960
3.277587891,4798.681641,960
0,4797.509766,960
3.387451172,4802.34375,960
1.733398438,4800.219727,960
0.573730469,4800.805664,960
3.216552734,4798.388672,960
1.153564453,4801.318359,960
0.347900391,4801.977539,960
4.479980469,4801.68457,960
1.745605469,4800.292969,960
4.339599609,4800.366211,960
1.086425781,4800.366211,960
2.325439453,4797.802734,960
2.130126953,4798.535156,960
1.763916016,4800.366211,960
2.001953125,4797.290039,960
4.071044922,4800.292969,960
2.239990234,4797.290039,960
0.170898438,4802.34375,960
0.9765625,4801.68457,960
4.248046875,4800.366211,960
1.715087891,4800.292969,960
1.019287109,4797.143555,960
4.821777344,4801.904297,960
4.296875,4802.124023,960
4.327392578,4797.436523,960
2.172851563,4797.363281,960
1.739501953,4802.050781,960
1.525878906,4802.197266,960
0.78125,4801.757813,960
2.856445313,4802.563477,960
3.149414063,4798.681641,960
4.431152344,4801.318359,960
2.807617188,4802.416992,960
2.722167969,4798.461914,960
1.605224609,4798.681641,960
0.311279297,4800.952148,960
2.191162109,4801.831055,960
0.518798828,4801.757813,960
0.024414063,4801.318359,960
